date;date_val;increment;date_id
25/01/2022;2,00;2,00;2515635
26/01/2022;3,00;2,00;2515637
27/01/2022;4,00;2,00;2515639
28/01/2022;5,00;0,00;
29/01/2022;6,00;0,00;
30/01/2022;7,00;0,00;
31/01/2022;1,00;4,00;2515643
01/02/2022;2,00;2,00;2853680
02/02/2022;3,00;2,00;2853682
03/02/2022;4,00;2,00;2853684
04/02/2022;5,00;0,00;
05/02/2022;6,00;0,00;
06/02/2022;7,00;0,00;
07/02/2022;1,00;4,00;2853688
08/02/2022;2,00;2,00;2853690
09/02/2022;3,00;2,00;2853692
10/02/2022;4,00;2,00;2853694
11/02/2022;5,00;0,00;
12/02/2022;6,00;0,00;
13/02/2022;7,00;0,00;
14/02/2022;1,00;4,00;2853698
15/02/2022;2,00;2,00;2853700
16/02/2022;3,00;2,00;2853702
17/02/2022;4,00;2,00;2853704
18/02/2022;5,00;0,00;
19/02/2022;6,00;0,00;
20/02/2022;7,00;0,00;
21/02/2022;1,00;4,00;2853708
22/02/2022;2,00;2,00;2853710
23/02/2022;3,00;2,00;2853712
24/02/2022;4,00;2,00;2853714
25/02/2022;5,00;0,00;
26/02/2022;6,00;0,00;
27/02/2022;7,00;0,00;
28/02/2022;1,00;4,00;2853718
01/03/2022;2,00;2,00;2853720
02/03/2022;3,00;2,00;2853722
03/03/2022;4,00;2,00;2853724
04/03/2022;5,00;0,00;
05/03/2022;6,00;0,00;
06/03/2022;7,00;0,00;
07/03/2022;1,00;4,00;2853728
08/03/2022;2,00;2,00;2853730
09/03/2022;3,00;2,00;2853732
10/03/2022;4,00;2,00;2853734
11/03/2022;5,00;0,00;
12/03/2022;6,00;0,00;
13/03/2022;7,00;0,00;
14/03/2022;1,00;4,00;2853738
15/03/2022;2,00;2,00;2853740
16/03/2022;3,00;2,00;2853742
17/03/2022;4,00;2,00;2853744
18/03/2022;5,00;0,00;
19/03/2022;6,00;0,00;
20/03/2022;7,00;0,00;
21/03/2022;1,00;4,00;2853748
22/03/2022;2,00;2,00;2853750
23/03/2022;3,00;2,00;2853752
24/03/2022;4,00;2,00;2853754
25/03/2022;5,00;0,00;
26/03/2022;6,00;0,00;
27/03/2022;7,00;0,00;
28/03/2022;1,00;4,00;2853758
29/03/2022;2,00;2,00;2853760
30/03/2022;3,00;2,00;2853762
31/03/2022;4,00;2,00;2853764
